total_yield,cover_10,region,total_avg,age_avg,experience_avg,insurance_avg,easement_p,conservation_till_avg,fertilizer_per_area,
61.33233533,0,South,0.305,57.2,21.6,0.254396825,1.886792453,145,20.26740613,
47.47099448,1,South,0.208,61.2,24.9,0.63862069,1.543942993,553,74.62686567,
46.2748538,0,South,0.307,61,24.5,0.422347826,0.803212851,63,15.08366722,
81.77404865,0,South,0.254,58.8,23.9,1.055784615,1.184433164,391,60.03352936,
81.04826546,0,South,0.117,58,23.9,0.2556,0.505334082,27,22.93760073,
58.26086957,0,South,0.292,62.5,23.6,0.613804348,2.345415778,579,25.26148299,
55.99228792,0,South,0.128,57,22.6,0.351404959,0.876740588,263,28.33594056,
50.87758621,0,South,0.178,59.1,23.4,0.678529412,2.057613169,48,16.17870678,
38.98484848,0,South,0.224,59.9,22.4,0.401117647,1.097560976,541,35.95737254,
75.14889267,0,South,0.161,57,21.5,0.472414063,1.10701107,152,35.57127755,
81.12788632,0,South,0.161,57.4,21.4,0.722191489,1.451489687,52,44.12009176,
81.95168177,0,South,0.171,57,23,1.373046875,0.71884984,402,49.3433826,
79.15270571,0,South,0.194,58.6,22.1,0.847374101,0.951557093,797,56.82717883,
75.80647701,0,South,0.181,59.7,21.4,0.733054688,0.489715965,408,58.92086564,
75.91743119,0,South,0.116,58.3,22.9,0.328384615,0.773195876,63,33.21123502,
46.13360324,0,South,0.491,63.3,27.4,0.1546875,1.634877384,121,6.336418315,
78.40924165,1,South,0.849,57.2,22.2,1.218641892,3.073770492,836,78.82631759,
62.08414239,0,South,0.374,58.6,24.2,1.057,2.83286119,997,55.86291569,
45.39349593,0,South,0.126,57.6,23.3,0.255709677,0.309917355,39,12.17215788,
57.42735043,0,South,1.057,58.5,23.4,1.661772414,5.841924399,1671,36.18560121,
48.44886171,0,South,0.529,57.4,23.5,1.465573529,0.73800738,1165,72.23141419,
43.52787663,0,South,0.224,58.9,23.4,0.396416667,0.78125,840,13.67129552,
67.4926807,1,South,0.615,55.8,22.9,1.244467391,1.338432122,996,72.47765503,
67.8479257,0,South,1.201,59.7,24,1.766397059,4.580152672,1298,38.31023153,
64.43724435,0,South,0.908,56.1,22.9,1.348079268,1.666666667,915,65.75390763,
53.91691249,0,South,1.133,58.8,24.2,1.867868217,1.818181818,1146,50.79875692,
67.28836578,0,South,0.414,57.6,21.5,1.404553398,0.633914422,801,68.08069049,
55.21976744,0,South,0.301,56.8,23.1,0.670733333,1.348314607,801,15.9210787,
57.05005726,0,South,0.639,57.9,24.6,1.091658824,2.358490566,707,49.43427719,
38.74915495,0,South,0.671,56.5,18.4,1.556535088,2.293577982,1221,57.50220623,
46.19569396,0,South,0.566,58.6,23.3,1.022152941,5.420054201,1480,47.5,
51.71528181,0,South,0.523,58.1,22.1,1.168330275,2.706552707,1109,57.64594021,
28.18124563,0,South,0.247,58.2,23.4,1.1623,1.169590643,1055,24.4445673,
58.70395469,1,South,1.678,55.5,25.3,1.930642857,2.112676056,1679,44.32510252,
52.32561078,1,South,1.573,56.8,25.8,2.039221519,2.597402597,1710,45.80713509,
65.95400844,0,South,0.872,55.7,24.9,1.305507538,1.377410468,1072,62.12797149,
75.340301,0,South,0.779,59.4,26,0.881235294,5.142857143,827,59.12023977,
30.66666667,0,South,0.193,59.8,21.2,1.090217391,1.703163017,377,24.23630396,
62.96200096,1,South,0.933,59,23.4,1.822419048,2.517985612,1021,52.79043412,
54.47619048,0,South,0.213,59.1,22,1.146061224,0.619962802,489,14.73714166,
70.06259609,0,South,1.365,60.8,27,2.421533333,3.20855615,948,49.74570759,
95.71818182,0,West,0.899,59.3,20.9,1.38211236,1.292705448,475,13.41165617,
101.4737441,0,West,0.253,60.2,23.3,1.091269231,0.90715048,359,73.46586909,
102.776209,0,West,1.471,57.8,21.3,1.504507353,0.787401575,913,30.12126139,
76.11632917,0,West,0.608,58.7,26.5,0.581149533,3.328894807,405,112.63524,
79.9606599,0,West,0.345,59.6,25.7,0.316031176,1.026392962,472,163.8812297,
77.29704178,0,West,0.398,58.4,25.6,0.380862445,1.449275362,323,101.5374924,
91.56586616,0,West,1.317,58,28.2,1.699247934,2.272727273,718,231.5857466,
79.05583349,0,West,0.64,57.7,25.4,0.802018692,0.726895119,628,102.8349336,
107.9534884,0,West,1.256,57.8,22.8,0.88076,2.652519894,47,6.292602865,
52.25685714,0,West,0.466,60.4,24.2,0.326154739,1.515151515,280,101.0338448,
137,1,West,0.408,59.9,24.5,0.660868421,11.0787172,9,3.555238265,
88.60497408,0,West,0.405,58.3,25.6,0.3524,3.166452717,374,123.5247811,
94.68751545,0,West,1.35,59.8,26.2,2.618428571,4.728132388,93,13.61365988,
69.93664448,0,West,0.099,61,19.1,0.327134199,1.46231721,168,138.6525952,
90.23569428,0,West,0.224,58.3,22.5,0.406251799,3.617571059,193,65.30444407,
85.98755998,0,West,0.225,60.8,25.3,0.280186634,1.311953353,344,123.1103496,
24.38785504,1,West,0.487,60.5,21.1,0.398639731,3.408316292,359,92.05570946,
62.60115607,0,West,0.307,60.1,19.5,0.57544898,1.645474944,252,8.095615586,
88.53466334,0,West,0.923,61.4,25.9,1.418782609,1.744966443,191,15.59696965,
69.93205019,1,West,0.404,60.7,22.6,0.628102041,4.711425206,189,46.05172902,
67.97587131,1,West,0.158,61.4,21.4,0.082116598,4.340567613,6,27.88726634,
66.6851595,0,West,0.2,59.6,25,0.210521786,1.491300746,199,151.5917326,
68.68238163,0,West,0.329,57.8,23.8,0.324747059,1.987899741,329,81.17394454,
104.4331723,0,West,0.415,60.1,23.1,0.438262443,1.081812035,19,17.02922345,
70.75483756,0,West,0.299,60,24.4,0.236796875,1.17028899,290,107.0640362,
73.40048251,1,West,0.484,60,23.1,0.737506024,3.055848261,391,85.7869478,
40.03219774,0,West,0.779,55.8,18.4,2.076966443,2.541436464,1344,10.75162097,
37.26739019,0,West,0.332,56.2,16.5,1.408830189,0.822561692,600,2.785318403,
29.97580037,0,West,2.207,61.4,28.7,1.9661,1.049475262,1240,5.388022555,
60.66196786,0,West,2.681,59.6,26.3,2.223786667,5.109489051,287,1.698814369,
80.35264484,0,West,0.106,60,20,0.221785714,16.99604743,189,22.13129303,
38.74463519,0,West,0.508,57.6,25.5,0.784957265,0.763358779,219,9.828074418,
101.4685829,0,West,0.147,59.8,20.8,0.336527273,6.873065015,51,16.38195283,
15.95615672,0,West,0.504,60.2,22.6,0.491020408,2.875399361,487,3.53917191,
27.03066667,0,West,0.165,58.3,16.7,0.135733333,6.132461161,204,3.125403078,
9,0,West,0.604,58.3,17.6,0.7097,5.447470817,26,1.784793814,
31.56746032,0,West,0.468,57.8,19.2,1.868979592,1.26394052,38,1.230094297,
27.31556079,0,West,0.624,57.3,18.1,1.103028169,1.041666667,832,1.127190928,
29.20923077,0,West,0.719,59.3,24,0.840227273,8.925869894,34,1.856193415,
51.37834259,0,West,2.366,56.5,25.9,2.039126712,0.871080139,1786,17.05482761,
16.4373673,0,West,0.503,59,22.1,0.66935,6.770356816,59,2.902186836,
57.41925168,0,West,0.236,58.4,19.9,0.341027778,5.286343612,168,8.572802494,
14.95039011,0,West,3.272,59.8,24.6,4.7236,7.650273224,674,0.179262552,
43.58114035,0,West,3.067,59.7,29.8,2.577111111,2.862985685,1376,3.354480809,
41.73377497,0,West,1.322,58.2,26.6,0.90383965,2.671312427,727,10.96346332,
96.87557604,0,West,0.139,58.1,19.4,0.102558559,4.462474645,82,10.5916493,
25.13356446,0,West,2.063,59.2,25.6,0.931857143,1.948051948,922,0.676739062,
50.62865029,0,West,0.615,59.5,21.6,0.41424,5.431878896,284,5.848393429,
87,0,West,0.291,59.8,23.1,0.249536585,3.788546256,56,8.637825507,
47.83708508,0,West,0.891,56.4,24.1,0.676905882,1.486486486,459,15.82429182,
38.93729608,0,West,2.143,61.2,31.3,1.45906701,2.966101695,1573,6.275147312,
101.3526709,0,West,0.553,55.6,22.6,0.579732558,7.165109034,706,55.15294277,
27.98969072,0,West,0.524,59.7,20.9,1.04528125,8.004509583,91,0.937394516,
85.39660563,0,West,1.09,60.2,24.9,1.245375,5.208333333,832,34.31364739,
19.79510703,0,West,1.023,60.1,22.4,0.6385,4.511278195,291,0.81580456,
